filename,spectral centroid avg,spectral bandwidth avg,spectral rolloff avg,zero crossing rate avg,mfcc
./test_soundtracks/02 Counter-Strike - Global Offensive Theme 2.mp3,1085.4538394885267,1697.7106541062901,2407.6719067212875,0.029851997534802784,7.815700403943002
./test_soundtracks/01. Jason Hayes - Heroes of Warcraft (Cinematic Score).mp3,1503.8408175356667,1770.761520964913,2995.4634026972158,0.06897227559454756,1.7449167139903596
./test_soundtracks/dota_main_screen_to_analyze.mpga,1408.4239046570847,1770.5149114122037,2816.6029219837587,0.0631854063950116,-9.573699461141576
./test_soundtracks/Imreiror god damn - ta ta tattaaaaa.mp3,2332.0677514966205,2338.1430260680327,4732.783214454032,0.12541237674013922,-4.124212597014045
./test_soundtracks/04 Atlas.mp3,721.1518314370059,1136.0614846902315,1317.6471754459108,0.03167597157772622,4.787365395325734
